Campaign,Campaign type,Campaign daily budget,Languages,Networks,Bid strategy type,Maximum CPC bid limit,Campaign status,Ad group,Ad group status,Keyword,Match type,Type,Status,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Comment
SE | Search | Hemsida företag | 14D,Search,53.57,sv;en,Google Search,Maximize clicks,15,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Paused placeholder only. Set a strict 750 SEK campaign-total budget for 14 days; never enable while Leadmap is running."
SE | Search | Hemsida företag | 14D,,,,,,,Paused,Hemsida företag,Paused,,,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
SE | Search | Hemsida företag | 14D,,,,,,,Paused,Hemsida företag,Paused,hemsida till företag,Exact,,Paused,https://nomia.se/ad?utm_source=google&utm_medium=cpc&utm_campaign=se_search_hemsida_foretag,,,,,,,,,,,,,,,,,,,,,,
SE | Search | Hemsida företag | 14D,,,,,,,Paused,Hemsida företag,Paused,hemsida till företag,Phrase,,Paused,https://nomia.se/ad?utm_source=google&utm_medium=cpc&utm_campaign=se_search_hemsida_foretag,,,,,,,,,,,,,,,,,,,,,,
SE | Search | Hemsida företag | 14D,,,,,,,Paused,Hemsida företag,Paused,beställa hemsida företag,Exact,,Paused,https://nomia.se/ad?utm_source=google&utm_medium=cpc&utm_campaign=se_search_hemsida_foretag,,,,,,,,,,,,,,,,,,,,,,
SE | Search | Hemsida företag | 14D,,,,,,,Paused,Hemsida företag,Paused,beställa hemsida,Phrase,,Paused,https://nomia.se/ad?utm_source=google&utm_medium=cpc&utm_campaign=se_search_hemsida_foretag,,,,,,,,,,,,,,,,,,,,,,
SE | Search | Hemsida företag | 14D,,,,,,,Paused,Hemsida företag,Paused,ny hemsida företag,Exact,,Paused,https://nomia.se/ad?utm_source=google&utm_medium=cpc&utm_campaign=se_search_hemsida_foretag,,,,,,,,,,,,,,,,,,,,,,
SE | Search | Hemsida företag | 14D,,,,,,,Paused,Hemsida företag,Paused,ny hemsida företag,Phrase,,Paused,https://nomia.se/ad?utm_source=google&utm_medium=cpc&utm_campaign=se_search_hemsida_foretag,,,,,,,,,,,,,,,,,,,,,,
SE | Search | Hemsida företag | 14D,,,,,,,Paused,Hemsida företag,Paused,webbyrå småföretag,Exact,,Paused,https://nomia.se/ad?utm_source=google&utm_medium=cpc&utm_campaign=se_search_hemsida_foretag,,,,,,,,,,,,,,,,,,,,,,
SE | Search | Hemsida företag | 14D,,,,,,,Paused,Hemsida företag,Paused,webbyrå småföretag,Phrase,,Paused,https://nomia.se/ad?utm_source=google&utm_medium=cpc&utm_campaign=se_search_hemsida_foretag,,,,,,,,,,,,,,,,,,,,,,
SE | Search | Hemsida företag | 14D,,,,,,,Paused,Hemsida företag,Paused,hemsida fast pris,Exact,,Paused,https://nomia.se/ad?utm_source=google&utm_medium=cpc&utm_campaign=se_search_hemsida_foretag,,,,,,,,,,,,,,,,,,,,,,
